num_post,titulo,descripcion,fecha,me_gusta
post001,Nueva oportunidad,posible viaje laboral,2025-03-02,10
post002,Capacitacion IA,se realizara entrenamiento en inteligencia artificial,2025-03-04,23
post003,Reconocimiento mensual,felicitaciones al equipo de soporte,2025-03-05,18
post004,Cambio de horarios,nuevos horarios para soporte tecnico,2025-03-07,12
post005,Actualizacion sistema,mantenimiento de servidores el viernes,2025-03-08,16
post006,Actividad bienestar,jornada deportiva empresarial,2025-03-10,8
post007,Nuevo cliente,se concreto alianza internacional,2025-03-12,30
post008,Vacantes internas,convocatoria para ascensos internos,2025-03-13,14
post009,Entrega exitosa,proyecto financiero completado,2025-03-15,19
post010,Reunion general,reunion trimestral corporativa,2025-03-17,11
post011,Plan de seguridad,nuevas medidas de acceso digital,2025-03-18,9
post012,Evento corporativo,celebracion aniversario empresarial,2025-03-20,25
post013,Indicadores positivos,aumento de productividad regional,2025-03-21,20
post014,Optimización procesos,se automatizaron tareas administrativas,2025-03-23,13
post015,Soporte remoto,implementacion de nuevas herramientas virtuales,2025-03-24,15
post016,Programa liderazgo,inscripciones abiertas para liderazgo,2025-03-26,17
post017,Auditoria interna,revision de procesos contables,2025-03-27,7
post018,Convenio educativo,nuevo convenio universitario para empleados,2025-03-29,21
post019,Expansión regional,apertura de nueva sede regional,2025-03-30,28
post020,Encuesta laboral,participacion obligatoria en encuesta interna,2025-04-01,6
post021,Mejora infraestructura,renovacion de equipos de oficina,2025-04-03,18
post022,Reconocimiento ventas,equipo comercial supera metas,2025-04-05,26
post023,Charla motivacional,conferencia sobre bienestar laboral,2025-04-06,10
post024,Integración empresarial,actividad de integración entre áreas,2025-04-08,9
post025,Control inventario,nuevo sistema de inventario digital,2025-04-10,13
